product_id,name,ASIN,inventory,min_inventory,description,image,modified_by,modified_on,postage_charges,packing_charges,other_charges,web_rrp,web_pp_charge,ebay_rrp,ebay_fees,amz_rrp,amz_fees,amz_fba_fees,ean,sku,inactive_from
1,Hand Carved Jewellery Box,,9,1,,http://artisansworld.co.uk/img/p/6/3/9/639.jpg,1,2018-12-31 16:01:01,2.82,0.25,0,7.18,3,7.18,0,7.18,0,0,8.44E+12,WH-110,2018-12-31 16:01:01
2,Hand Carved Jewellery Box,,5,1,,http://artisansworld.co.uk/img/p/6/4/0/640.jpg,1,2019-01-01 16:01:01,2.82,0.25,0,6.96,3,6.96,0,6.96,0,0,8.44E+12,WH-127,2018-12-31 16:01:01
3,Wooden Jewellery Box with Elephant Motif,,4,1,,http://artisansworld.co.uk/img/p/6/4/1/641.jpg,1,2019-01-02 16:01:01,2.82,0.25,0,7.48,3,7.48,0,7.48,0,0,8.44E+12,WH-137,2018-12-31 16:01:01
4,Wooden Peacock Figurine,,14,1,,http://artisansworld.co.uk/img/p/3/8/5/385.jpg,1,2019-01-03 16:01:01,2.82,0.25,0,9.98,3,9.98,0,9.98,0,0,8.44E+12,WH-101,2018-12-31 16:01:01
5,Wooden Buddha Sculpture,,19,1,,http://artisansworld.co.uk/img/p/3/9/0/390.jpg,1,2019-01-04 16:01:01,2.82,0.25,0,11.34,3,11.34,0,11.34,0,0,8.44E+12,WH-111,2018-12-31 16:01:01
6,Wooden Specs Holder,,10,1,,http://artisansworld.co.uk/img/p/9/5/95.jpg,1,2019-01-05 16:01:01,2.82,0.25,0,6.05,3,6.05,0,6.05,0,0,8.44E+12,WH-115,2018-12-31 16:01:01
7,Wooden Owls,,3,1,,http://artisansworld.co.uk/img/p/4/6/8/468.jpg,1,2019-01-06 16:01:01,2.82,0.25,0,14.98,3,14.98,0,14.98,0,0,8.44E+12,WH-113,2018-12-31 16:01:01
8,Hand Carved Jewellery Box - Large,,2,1,,http://artisansworld.co.uk/img/p/4/6/46.jpg,1,2019-01-07 16:01:01,2.82,0.25,0,9.98,3,9.98,0,9.98,0,0,8.44E+12,CK-001,2018-12-31 16:01:01
9,Hand Carved Jewellery Box,,2,1,,http://artisansworld.co.uk/img/p/5/3/53.jpg,1,2019-01-08 16:01:01,2.82,0.25,0,9.98,3,9.98,0,9.98,0,0,8.44E+12,CK-002,2018-12-31 16:01:01
10,Wooden Peacock With Open Wings,,6,1,,http://artisansworld.co.uk/img/p/3/7/9/379.jpg,1,2019-01-09 16:01:01,2.82,0.25,0,15.48,3,15.48,0,15.48,0,0,8.44E+12,KH-116,2018-12-31 16:01:01
